name,auth,translator,publisher,date,price,rating,hot,url
狂人日记,鲁迅 , 京华出版社 , 京华出版社 , 2006-3 , 39.80元,8.8,52100,https://book.douban.com/subject/1398395/
不存在的骑士,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4 , 22.00元,8.9,9733,https://book.douban.com/subject/6789551/
时间龙,林燿德 , 后浪丨四川文艺出版社 , 后浪丨四川文艺出版社 , 2020-4 , 45.00元,7.8,200,https://book.douban.com/subject/34982185/
幻城,郭敬明 , 春风文艺出版社 , 春风文艺出版社 , 2003-1 , 28.00元,7.0,102055,https://book.douban.com/subject/1059406/
天官賜福 一,墨香銅臭 , 平心出版 , 平心出版 , 2017-12 , NTD 330,7.6,5809,https://book.douban.com/subject/30181592/
蝇王,[英] 威廉·戈尔丁 , 龚志成 , 上海译文出版社 , 2006-8 , 13.00元,8.2,9841,https://book.douban.com/subject/1872158/
霸王别姬,李碧华 , 人民文学出版社 , 人民文学出版社 , 1999-1 , 10.20元,9.1,13330,https://book.douban.com/subject/1088711/
孤城闭,米兰Lady , 江苏凤凰文艺出版社 , 江苏凤凰文艺出版社 , 2018-5 , 78.00元,8.4,2201,https://book.douban.com/subject/30215869/
鬼吹灯之龙岭迷窟,天下霸唱 , 安徽文艺出版社 , 安徽文艺出版社 , 2006-11 , 25.00元,7.8,31724,https://book.douban.com/subject/1916726/
罗杰疑案,[英] 阿加莎·克里斯蒂 , 张江云 , 人民文学出版社 , 2006-5 , 21.00元,8.9,27871,https://book.douban.com/subject/1807516/
教父,[美]马里奥·普佐 , 周汉林 , 译林出版社 , 1997-8 , 23.30元,9.0,31902,https://book.douban.com/subject/1092335/
刺杀骑士团长,[日] 村上春树 , 林少华 , 上海译文出版社 , 2018-3 , 98.00元,7.5,25625,https://book.douban.com/subject/27199470/
你的夏天还好吗？,[韩]金爱烂 , 薛舟 , 人民文学出版社 , 2017-1 , 32.00,8.7,3343,https://book.douban.com/subject/26953294/
心是孤独的猎手,[美] 卡森·麦卡勒斯 , 陈笑黎 , 上海三联书店 , 2005-8 , 25.00元,8.5,28874,https://book.douban.com/subject/1424741/
美丽新世界,[英] 阿道司·赫胥黎 , 王波 , 重庆出版社 , 2005-6 , 20.00元,8.7,21484,https://book.douban.com/subject/1321789/
月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2009-10 , 32.00元,9.1,38384,https://book.douban.com/subject/4123116/
我亲爱的甜橙树,(巴西)若泽•毛罗•德瓦斯康塞洛斯 , 蔚玲 , 天天出版社 , 2010-6 , 19.90元,9.1,6762,https://book.douban.com/subject/4826530/
东宫,匪我思存 , 新世界出版社 , 新世界出版社 , 2010-07 , 28.0,7.3,30452,https://book.douban.com/subject/4871447/
1988：我想和这个世界谈谈,韩寒 , 国际文化出版公司 , 国际文化出版公司 , 2010-9 , 25.00元,7.9,138439,https://book.douban.com/subject/5275059/
故事新编,鲁迅 , 人民文学出版社 , 人民文学出版社 , 1973-12-01 , 0.31 元,9.2,8344,https://book.douban.com/subject/2046909/
在路上,[美] 杰克·凯鲁亚克 , 王永年 , 上海译文出版社 , 2006-10 , 28.00元,7.8,45443,https://book.douban.com/subject/1917972/
清单人生,[瑞典] 弗雷德里克·巴克曼 , 孙璐 , 天津人民出版社 , 2018-4-21 , 42.00,7.8,9341,https://book.douban.com/subject/30140436/
悲伤逆流成河,郭敬明 , 长江文艺出版社 , 长江文艺出版社 , 2007-5 , 24.00元,6.2,101041,https://book.douban.com/subject/2062200/
三重门,韩寒 , NONE、NONE , 作家出版社 , 2000-5 , 16.00,7.4,108558,https://book.douban.com/subject/1026425/
荒原狼,[德]赫尔曼·黑塞 , 赵登荣、倪诚恩 , 上海译文出版社 , 2008-7 , 13.00,9.0,10682,https://book.douban.com/subject/3131626/
香水,[德] 帕·聚斯金德 , 李清华 , 上海译文出版社 , 2009-6 , 25.00元,8.9,12490,https://book.douban.com/subject/3815125/
