name,auth,translator,publisher,date,price,rating,hot,url
Ruby元编程（第2版）,[意] Paolo Perrotta , 廖志刚 , 华中科技大学出版社 , 2015-8-1 , 68.80,9.3,102,https://book.douban.com/subject/26575429/
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition",Aurelien Geron , O′Reilly , O′Reilly , 2019-10-11 , GBP 55.99,9.9,96,https://book.douban.com/subject/30310982/
RabbitMQ实战,Alvaro Videla、Jason J. W. Williams , 汪佳南 , 电子工业出版社 , 2015-10 , 75.00元,7.2,98,https://book.douban.com/subject/26649178/
实战Java虚拟机,葛一鸣 , 电子工业出版社 , 电子工业出版社 , 2015-3 , 79.00元,8.2,78,https://book.douban.com/subject/26354292/
数学与泛型编程,［美］亚历山大 A. 斯捷潘诺夫（Alexander A. Stepanov）、［美］丹尼尔 E. 罗斯（Daniel E. Rose） , 爱飞翔 , 机械工业出版社 , 2017-8 , 79,9.1,36,https://book.douban.com/subject/27116151/
Debugging with GDB,Richard M. Stallman、Roland H. Pesch、Stan Shebs , Free Software Foundation , Free Software Foundation , 2002-01 , USD 30.00,8.1,33,https://book.douban.com/subject/1796047/
C#本质论,米凯利斯 , 周靖 , 人民邮电出版社 , 2010-9 , 99.00元,8.6,115,https://book.douban.com/subject/5243513/
编程之魂,Federico Biancuzzi、Shane Warden , 闫怀志 , 电子工业出版社 , 2010-04 , 59.80元,7.5,300,https://book.douban.com/subject/4719230/
C++标准库,Nicolai M. Josuttis , 人民邮电出版社 , 人民邮电出版社 , 2012-12-19 , 128.00元,9.1,34,https://book.douban.com/subject/20472462/
七周七并发模型,Paul Butcher , 黄炎 , 人民邮电出版社 , 2015-3 , 49.00元,7.7,299,https://book.douban.com/subject/26337939/
Learn Python the Hard Way,Zed Shaw , Example Product Manufacturer ,Zed Shaw , Example Product Manufacturer , 2011,8.3,127,https://book.douban.com/subject/10486432/
Scala函数式编程,Paul Chiusano，Rúnar Bjarnason , 王宏江、钟伦甫、曹静静 , 电子工业出版社 , 2016-3-1 , CNY 69.00,8.7,88,https://book.douban.com/subject/26772149/
计算机文化（原书第15版）,June Jamrich Parsons、Dan Oja , 吕云翔、傅尔 , 机械工业出版社 , 2014-6-1 , 79.00元,8.7,23,https://book.douban.com/subject/25969334/
代码之外的功夫,[美] Gregory T. Brown , 李志 , 人民邮电出版社 , 2018-3-1 , 49.00元,6.8,86,https://book.douban.com/subject/30147274/
Deep Reinforcement Learning in Action,Alexander Zai、Brandon Brown , Manning Publications , Manning Publications , 2020-3-23 , USD 49.99,not-found,10,https://book.douban.com/subject/34841310/
Natural Language Processing with PyTorch,Delip Rao、Goku Mohandas , O′Reilly , O′Reilly , 2018-8-31 , GBP 35.99,not-found,10,https://book.douban.com/subject/30163679/
Dart语言程序设计,Chris Strom , 韩国恺 , 人民邮电出版社 , 2013-1 , 35.00元,5.0,16,https://book.douban.com/subject/20480743/
重构与模式,[美]Joshua Kerievsky , 杨光、刘基诚 , 人民邮电出版社 , 2006年10月 , 45.00元,7.9,216,https://book.douban.com/subject/1917706/
Computer Systems,Randal E. Bryant、David R. O'Hallaron , Prentice Hall , Prentice Hall , 2008-3 , USD 135.00,9.7,235,https://book.douban.com/subject/3023631/
Lua程序设计,罗伯拖·鲁萨利姆斯奇 (Roberto Ierusalimschy) , 梅隆魁 , 电子工业出版社 , 2018-7-1 , CNY 89.00,9.0,36,https://book.douban.com/subject/30262035/
Effective Debugging,Diomidis Spinellis , Addison-Wesley Professional , Addison-Wesley Professional , 2016-7-3 , USD 39.99,not-found,10,https://book.douban.com/subject/26903324/
Java语言程序设计,（美）  Y. Daniel Liang , 李娜 , 机械工业出版社 , 2011-6 , 75.00元,8.7,270,https://book.douban.com/subject/6529833/
ACM国际大学生程序设计竞赛,俞勇 编 , 2013-1 ,俞勇 编 , 2013-1 , 36.00元,8.7,15,https://book.douban.com/subject/20505391/
离散数学及其应用（原书第5版）,[美] Kenneth H. Rosen , 袁崇义 , 机械工业出版社 , 2007-6 , 79.00元,9.1,645,https://book.douban.com/subject/2130743/
Unity游戏设计与实现,[日]加藤政树 , 罗水东 , 人民邮电出版社 , 2015-2 , 79.00元,8.4,48,https://book.douban.com/subject/26313534/
